SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,SEASON
42005,2544,0040500207,"MAY 21, 2006",CLE @ DET,L,47,11,24,0.458,0,4,0.0,5,8,0.625,3,5,8,2,1,0,3,2,27,-16,0,2005-06
42005,2544,0040500206,"MAY 19, 2006",CLE vs. DET,L,48,8,20,0.4,1,5,0.2,15,18,0.833,0,11,11,5,1,1,7,2,32,-2,0,2005-06
42005,2544,0040500205,"MAY 17, 2006",CLE @ DET,W,47,13,30,0.433,1,4,0.25,5,7,0.714,3,2,5,5,2,1,2,3,32,2,0,2005-06
42005,2544,0040500204,"MAY 15, 2006",CLE vs. DET,W,48,8,23,0.348,1,2,0.5,5,10,0.5,1,7,8,9,2,2,8,3,22,2,0,2005-06
42005,2544,0040500203,"MAY 13, 2006",CLE vs. DET,W,48,9,18,0.5,1,4,0.25,2,2,1.0,0,10,10,10,4,1,4,2,21,9,0,2005-06
42005,2544,0040500202,"MAY 09, 2006",CLE @ DET,L,47,11,23,0.478,2,5,0.4,6,8,0.75,2,12,14,7,0,0,3,4,30,-4,0,2005-06
42005,2544,0040500201,"MAY 07, 2006",CLE @ DET,L,36,9,18,0.5,2,5,0.4,2,2,1.0,1,3,4,4,0,0,4,3,22,-31,0,2005-06
42005,2544,0040500136,"MAY 05, 2006",CLE @ WAS,W,53,15,25,0.6,1,6,0.167,1,3,0.333,0,7,7,7,2,1,5,4,32,1,0,2005-06
42005,2544,0040500135,"MAY 03, 2006",CLE vs. WAS,W,46,14,23,0.609,0,1,0.0,17,18,0.944,5,2,7,6,2,0,4,5,45,-4,0,2005-06
42005,2544,0040500134,"APR 30, 2006",CLE @ WAS,L,45,13,23,0.565,7,12,0.583,5,7,0.714,1,5,6,5,0,0,7,5,38,-16,0,2005-06
42005,2544,0040500133,"APR 28, 2006",CLE @ WAS,W,48,16,28,0.571,3,5,0.6,6,9,0.667,1,4,5,3,2,0,4,3,41,1,0,2005-06
42005,2544,0040500132,"APR 25, 2006",CLE vs. WAS,L,44,7,25,0.28,1,6,0.167,11,15,0.733,2,7,9,2,2,3,10,5,26,-2,0,2005-06
42005,2544,0040500131,"APR 22, 2006",CLE vs. WAS,W,48,12,27,0.444,1,4,0.25,7,11,0.636,3,8,11,11,0,0,4,3,32,11,0,2005-06
42006,2544,0040600404,"JUN 14, 2007",CLE vs. SAS,L,46,10,30,0.333,2,7,0.286,2,6,0.333,0,6,6,10,0,0,6,1,24,2,0,2006-07
42006,2544,0040600403,"JUN 12, 2007",CLE vs. SAS,L,42,9,23,0.391,0,5,0.0,7,8,0.875,0,8,8,7,2,1,5,3,25,4,0,2006-07
42006,2544,0040600402,"JUN 10, 2007",CLE @ SAS,L,38,9,21,0.429,0,2,0.0,7,11,0.636,3,4,7,6,1,0,6,3,25,-5,0,2006-07
42006,2544,0040600401,"JUN 07, 2007",CLE @ SAS,L,44,4,16,0.25,2,6,0.333,4,4,1.0,1,6,7,4,1,1,6,1,14,-5,0,2006-07
42006,2544,0040600306,"JUN 02, 2007",CLE vs. DET,W,46,3,11,0.273,0,2,0.0,14,19,0.737,2,12,14,8,2,2,3,1,20,13,0,2006-07
42006,2544,0040600305,"MAY 31, 2007",CLE @ DET,W,50,18,33,0.545,2,3,0.667,10,14,0.714,3,6,9,7,2,0,2,3,48,2,0,2006-07
42006,2544,0040600304,"MAY 29, 2007",CLE vs. DET,W,44,8,19,0.421,1,5,0.2,8,9,0.889,0,7,7,11,3,0,3,0,25,-4,0,2006-07
42006,2544,0040600303,"MAY 27, 2007",CLE vs. DET,W,46,12,21,0.571,2,3,0.667,6,9,0.667,1,8,9,9,2,0,3,2,32,6,0,2006-07
42006,2544,0040600302,"MAY 24, 2007",CLE @ DET,L,45,7,19,0.368,0,1,0.0,5,7,0.714,0,6,6,7,3,0,6,1,19,-6,0,2006-07
42006,2544,0040600301,"MAY 21, 2007",CLE @ DET,L,45,5,15,0.333,0,0,0.0,0,0,0.0,1,9,10,9,4,1,2,1,10,-5,0,2006-07
42006,2544,0040600216,"MAY 18, 2007",CLE @ NJN,W,39,8,20,0.4,1,5,0.2,6,9,0.667,1,7,8,8,1,0,2,4,23,26,0,2006-07
42006,2544,0040600215,"MAY 16, 2007",CLE vs. NJN,L,43,5,14,0.357,0,2,0.0,10,11,0.909,3,6,9,5,2,1,5,4,20,-15,0,2006-07
42006,2544,0040600214,"MAY 14, 2007",CLE @ NJN,W,46,9,16,0.563,2,3,0.667,10,15,0.667,0,9,9,7,0,0,3,1,30,9,0,2006-07
42006,2544,0040600213,"MAY 12, 2007",CLE @ NJN,L,44,5,16,0.313,1,5,0.2,7,7,1.0,0,6,6,12,0,0,2,2,18,-12,0,2006-07
42006,2544,0040600212,"MAY 08, 2007",CLE vs. NJN,W,46,12,24,0.5,3,7,0.429,9,13,0.692,0,1,1,12,3,0,2,2,36,8,0,2006-07
42006,2544,0040600211,"MAY 06, 2007",CLE vs. NJN,W,46,8,21,0.381,1,4,0.25,4,6,0.667,2,9,11,7,1,1,3,2,21,6,0,2006-07
42006,2544,0040600114,"APR 30, 2007",CLE @ WAS,W,46,8,22,0.364,1,5,0.2,14,17,0.824,3,8,11,7,3,1,2,3,31,12,0,2006-07
42006,2544,0040600113,"APR 28, 2007",CLE @ WAS,W,46,11,22,0.5,3,5,0.6,5,7,0.714,0,6,6,9,1,0,2,3,30,6,0,2006-07
42006,2544,0040600112,"APR 25, 2007",CLE vs. WAS,W,45,8,22,0.364,0,3,0.0,11,13,0.846,4,4,8,7,1,2,2,2,27,12,0,2006-07
42006,2544,0040600111,"APR 22, 2007",CLE vs. WAS,W,44,7,14,0.5,0,2,0.0,9,11,0.818,2,7,9,7,2,0,1,1,23,17,0,2006-07
42007,2544,0040700207,"MAY 18, 2008",CLE @ BOS,L,47,14,29,0.483,3,11,0.273,14,19,0.737,1,4,5,6,2,0,2,4,45,0,0,2007-08
42007,2544,0040700206,"MAY 16, 2008",CLE vs. BOS,W,47,9,23,0.391,1,3,0.333,13,15,0.867,3,9,12,6,2,1,8,2,32,7,0,2007-08
42007,2544,0040700205,"MAY 14, 2008",CLE @ BOS,L,45,12,25,0.48,0,5,0.0,11,13,0.846,0,3,3,5,1,1,4,3,35,-8,0,2007-08
42007,2544,0040700204,"MAY 12, 2008",CLE vs. BOS,W,44,7,20,0.35,2,5,0.4,5,8,0.625,1,5,6,13,3,2,4,3,21,15,0,2007-08
42007,2544,0040700203,"MAY 10, 2008",CLE vs. BOS,W,40,5,16,0.313,3,5,0.6,8,12,0.667,0,5,5,8,4,3,2,3,21,29,0,2007-08
42007,2544,0040700202,"MAY 08, 2008",CLE @ BOS,L,42,6,24,0.25,0,4,0.0,9,13,0.692,2,3,5,6,2,1,7,1,21,-15,0,2007-08
42007,2544,0040700201,"MAY 06, 2008",CLE @ BOS,L,39,2,18,0.111,0,6,0.0,8,10,0.8,2,7,9,9,1,1,10,4,12,-7,0,2007-08
42007,2544,0040700136,"MAY 02, 2008",CLE @ WAS,W,44,8,17,0.471,1,2,0.5,10,10,1.0,2,11,13,13,2,1,1,2,27,26,0,2007-08
42007,2544,0040700135,"APR 30, 2008",CLE vs. WAS,L,44,8,21,0.381,3,9,0.333,15,18,0.833,2,8,10,7,1,2,5,0,34,-3,0,2007-08
42007,2544,0040700134,"APR 27, 2008",CLE @ WAS,W,44,11,25,0.44,3,8,0.375,9,14,0.643,2,10,12,7,2,0,5,5,34,3,0,2007-08
42007,2544,0040700133,"APR 24, 2008",CLE @ WAS,L,36,10,19,0.526,0,4,0.0,2,4,0.5,0,7,7,3,1,1,4,3,22,-24,0,2007-08
42007,2544,0040700132,"APR 21, 2008",CLE vs. WAS,W,39,9,19,0.474,2,6,0.333,10,17,0.588,1,8,9,12,1,2,1,2,30,34,0,2007-08
42007,2544,0040700131,"APR 19, 2008",CLE vs. WAS,W,41,12,19,0.632,0,2,0.0,8,14,0.571,0,6,6,4,1,2,1,1,32,9,0,2007-08
42008,2544,0040800306,"MAY 30, 2009",CLE @ ORL,L,45,8,20,0.4,2,8,0.25,7,11,0.636,1,6,7,7,0,1,3,4,25,-12,0,2008-09
42008,2544,0040800305,"MAY 28, 2009",CLE vs. ORL,W,46,11,24,0.458,0,2,0.0,15,19,0.789,3,11,14,12,1,1,4,3,37,11,0,2008-09
42008,2544,0040800304,"MAY 26, 2009",CLE @ ORL,L,49,13,29,0.448,4,10,0.4,14,18,0.778,1,11,12,7,1,1,8,5,44,6,0,2008-09
42008,2544,0040800303,"MAY 24, 2009",CLE @ ORL,L,42,11,28,0.393,1,8,0.125,18,24,0.75,0,7,7,9,2,1,2,3,41,-12,0,2008-09
42008,2544,0040800302,"MAY 22, 2009",CLE vs. ORL,W,43,12,23,0.522,1,3,0.333,10,12,0.833,2,2,4,5,1,0,6,3,35,-7,0,2008-09
42008,2544,0040800301,"MAY 20, 2009",CLE vs. ORL,L,41,20,30,0.667,3,6,0.5,6,10,0.6,3,3,6,8,2,3,2,1,49,7,0,2008-09
42008,2544,0040800204,"MAY 11, 2009",CLE @ ATL,W,43,9,22,0.409,3,6,0.5,6,9,0.667,0,8,8,8,1,0,3,3,27,1,0,2008-09
42008,2544,0040800203,"MAY 09, 2009",CLE @ ATL,W,43,15,25,0.6,5,10,0.5,12,16,0.75,2,10,12,8,1,1,1,2,47,26,0,2008-09
42008,2544,0040800202,"MAY 07, 2009",CLE vs. ATL,W,31,9,14,0.643,3,5,0.6,6,12,0.5,0,3,3,5,4,1,0,1,27,23,0,2008-09
42008,2544,0040800201,"MAY 05, 2009",CLE vs. ATL,W,34,12,20,0.6,2,6,0.333,8,9,0.889,3,7,10,3,4,0,3,0,34,13,0,2008-09
42008,2544,0040800104,"APR 26, 2009",CLE @ DET,W,41,10,24,0.417,0,3,0.0,16,17,0.941,1,12,13,8,2,1,2,3,36,10,0,2008-09
42008,2544,0040800103,"APR 24, 2009",CLE @ DET,W,43,9,19,0.474,0,5,0.0,7,11,0.636,2,9,11,9,3,2,2,0,25,13,0,2008-09
42008,2544,0040800102,"APR 21, 2009",CLE vs. DET,W,38,7,14,0.5,2,5,0.4,13,17,0.765,1,12,13,6,0,0,2,1,29,21,0,2008-09
42008,2544,0040800101,"APR 18, 2009",CLE vs. DET,W,41,13,20,0.65,1,4,0.25,11,14,0.786,0,8,8,7,1,0,0,1,38,22,0,2008-09
42009,2544,0040900206,"MAY 13, 2010",CLE @ BOS,L,46,8,21,0.381,2,4,0.5,9,12,0.75,3,16,19,10,3,1,9,2,27,-5,0,2009-10
42009,2544,0040900205,"MAY 11, 2010",CLE vs. BOS,L,42,3,14,0.214,0,4,0.0,9,12,0.75,1,5,6,7,1,0,3,3,15,-22,0,2009-10
42009,2544,0040900204,"MAY 09, 2010",CLE @ BOS,L,43,7,18,0.389,0,5,0.0,8,11,0.727,1,8,9,8,2,1,7,4,22,-10,0,2009-10
42009,2544,0040900203,"MAY 07, 2010",CLE @ BOS,W,39,14,22,0.636,2,3,0.667,8,9,0.889,2,6,8,7,1,2,1,1,38,30,0,2009-10
42009,2544,0040900202,"MAY 03, 2010",CLE vs. BOS,L,41,7,15,0.467,0,4,0.0,10,15,0.667,0,7,7,4,3,2,5,1,24,-16,0,2009-10
42009,2544,0040900201,"MAY 01, 2010",CLE vs. BOS,W,43,12,24,0.5,3,6,0.5,8,11,0.727,2,5,7,7,3,2,2,1,35,7,0,2009-10
42009,2544,0040900105,"APR 27, 2010",CLE vs. CHI,W,43,5,12,0.417,1,2,0.5,8,14,0.571,3,7,10,9,0,2,3,1,19,1,0,2009-10
42009,2544,0040900104,"APR 25, 2010",CLE @ CHI,W,36,11,17,0.647,6,9,0.667,9,10,0.9,0,12,12,11,2,1,2,3,37,29,0,2009-10
42009,2544,0040900103,"APR 22, 2010",CLE @ CHI,L,44,14,26,0.538,4,8,0.5,7,13,0.538,2,8,10,8,2,3,5,3,39,5,0,2009-10
42009,2544,0040900102,"APR 19, 2010",CLE vs. CHI,W,41,16,23,0.696,2,4,0.5,6,6,1.0,1,7,8,8,1,2,2,2,40,6,0,2009-10
42009,2544,0040900101,"APR 17, 2010",CLE vs. CHI,W,40,9,19,0.474,0,1,0.0,6,7,0.857,0,6,6,5,1,4,3,2,24,19,0,2009-10
42010,2544,0041000406,"JUN 12, 2011",MIA vs. DAL,L,40,9,15,0.6,2,5,0.4,1,4,0.25,1,3,4,6,1,1,6,2,21,-24,0,2010-11
42010,2544,0041000405,"JUN 09, 2011",MIA @ DAL,L,46,8,19,0.421,0,4,0.0,1,2,0.5,1,9,10,10,0,1,4,3,17,-11,0,2010-11
42010,2544,0041000404,"JUN 07, 2011",MIA @ DAL,L,46,3,11,0.273,0,3,0.0,2,4,0.5,3,6,9,7,2,0,4,4,8,-6,0,2010-11
42010,2544,0041000403,"JUN 05, 2011",MIA @ DAL,W,45,6,14,0.429,1,4,0.25,4,4,1.0,0,3,3,9,2,0,4,3,17,1,0,2010-11
42010,2544,0041000402,"JUN 02, 2011",MIA vs. DAL,L,40,8,15,0.533,2,7,0.286,2,4,0.5,1,7,8,4,4,1,5,4,20,-5,0,2010-11
42010,2544,0041000401,"MAY 31, 2011",MIA vs. DAL,W,45,9,16,0.563,4,5,0.8,2,2,1.0,0,9,9,5,1,0,1,4,24,9,0,2010-11
42010,2544,0041000305,"MAY 26, 2011",MIA @ CHI,W,46,8,19,0.421,3,6,0.5,9,11,0.818,0,11,11,6,3,2,4,2,28,8,0,2010-11
42010,2544,0041000304,"MAY 24, 2011",MIA vs. CHI,W,49,11,26,0.423,0,1,0.0,13,13,1.0,2,4,6,6,2,2,5,4,35,-1,0,2010-11
42010,2544,0041000303,"MAY 22, 2011",MIA vs. CHI,W,44,6,13,0.462,1,2,0.5,9,9,1.0,1,5,6,10,2,2,0,4,22,16,0,2010-11
42010,2544,0041000302,"MAY 18, 2011",MIA @ CHI,W,46,12,21,0.571,2,6,0.333,3,7,0.429,3,7,10,5,3,0,5,3,29,8,0,2010-11
42010,2544,0041000301,"MAY 15, 2011",MIA @ CHI,L,41,5,15,0.333,1,3,0.333,4,4,1.0,1,5,6,6,2,3,4,2,15,-14,0,2010-11
42010,2544,0041000215,"MAY 11, 2011",MIA vs. BOS,W,46,11,20,0.55,5,7,0.714,6,9,0.667,2,5,7,4,1,1,5,1,33,14,0,2010-11
42010,2544,0041000214,"MAY 09, 2011",MIA @ BOS,W,50,12,28,0.429,2,6,0.333,9,9,1.0,3,11,14,3,3,0,5,3,35,7,0,2010-11
42010,2544,0041000213,"MAY 07, 2011",MIA @ BOS,L,43,6,16,0.375,0,3,0.0,3,7,0.429,2,5,7,4,2,5,4,3,15,-21,0,2010-11
42010,2544,0041000212,"MAY 03, 2011",MIA vs. BOS,W,44,14,25,0.56,2,4,0.5,5,8,0.625,2,5,7,2,1,1,0,3,35,10,0,2010-11
42010,2544,0041000211,"MAY 01, 2011",MIA vs. BOS,W,40,8,19,0.421,1,3,0.333,5,9,0.556,1,5,6,5,2,2,3,2,22,1,0,2010-11
42010,2544,0041000115,"APR 27, 2011",MIA vs. PHI,W,42,5,13,0.385,2,5,0.4,4,5,0.8,3,7,10,8,1,0,3,2,16,5,0,2010-11
42010,2544,0041000114,"APR 24, 2011",MIA @ PHI,L,44,11,20,0.55,0,4,0.0,9,11,0.818,2,5,7,6,1,1,1,2,31,-4,0,2010-11
42010,2544,0041000113,"APR 21, 2011",MIA @ PHI,W,44,8,15,0.533,1,4,0.25,7,10,0.7,1,14,15,6,1,0,1,1,24,8,0,2010-11
42010,2544,0041000112,"APR 18, 2011",MIA vs. PHI,W,39,10,19,0.526,1,1,1.0,8,10,0.8,1,6,7,6,0,0,0,1,29,24,0,2010-11
42010,2544,0041000111,"APR 16, 2011",MIA vs. PHI,W,43,4,14,0.286,0,2,0.0,13,14,0.929,4,10,14,5,1,3,2,3,21,4,0,2010-11
42011,2544,0041100405,"JUN 21, 2012",MIA vs. OKC,W,44,9,19,0.474,0,3,0.0,8,9,0.889,4,7,11,13,1,2,6,2,26,20,0,2011-12
42011,2544,0041100404,"JUN 19, 2012",MIA vs. OKC,W,44,10,20,0.5,1,4,0.25,5,8,0.625,3,6,9,12,2,0,3,2,26,8,0,2011-12
42011,2544,0041100403,"JUN 17, 2012",MIA vs. OKC,W,44,11,23,0.478,1,4,0.25,6,8,0.75,5,9,14,3,0,0,4,1,29,8,0,2011-12
42011,2544,0041100402,"JUN 14, 2012",MIA @ OKC,W,42,10,22,0.455,0,2,0.0,12,12,1.0,2,6,8,5,1,0,2,4,32,6,0,2011-12
42011,2544,0041100401,"JUN 12, 2012",MIA @ OKC,L,46,11,24,0.458,1,3,0.333,7,9,0.778,1,8,9,4,4,0,4,1,30,-11,0,2011-12
42011,2544,0041100307,"JUN 09, 2012",MIA vs. BOS,W,48,9,21,0.429,1,5,0.2,12,17,0.706,2,10,12,2,1,1,3,0,31,13,0,2011-12
42011,2544,0041100306,"JUN 07, 2012",MIA @ BOS,W,45,19,26,0.731,2,4,0.5,5,9,0.556,2,13,15,5,0,0,4,3,45,22,0,2011-12
42011,2544,0041100305,"JUN 05, 2012",MIA vs. BOS,L,45,11,25,0.44,2,6,0.333,6,8,0.75,3,10,13,2,2,1,3,1,30,0,0,2011-12
42011,2544,0041100304,"JUN 03, 2012",MIA @ BOS,L,48,12,25,0.48,1,3,0.333,4,8,0.5,1,5,6,3,1,1,7,6,29,1,0,2011-12
42011,2544,0041100303,"JUN 01, 2012",MIA @ BOS,L,43,16,26,0.615,1,4,0.25,1,5,0.2,0,8,8,5,2,2,3,4,34,-6,0,2011-12
42011,2544,0041100302,"MAY 30, 2012",MIA vs. BOS,W,48,7,20,0.35,2,6,0.333,18,24,0.75,4,6,10,7,1,1,1,2,34,10,0,2011-12
42011,2544,0041100301,"MAY 28, 2012",MIA vs. BOS,W,44,13,22,0.591,0,3,0.0,6,9,0.667,1,12,13,3,1,3,3,2,32,17,0,2011-12
42011,2544,0041100206,"MAY 24, 2012",MIA @ IND,W,45,12,23,0.522,0,3,0.0,4,5,0.8,1,5,6,7,3,0,1,1,28,16,0,2011-12
42011,2544,0041100205,"MAY 22, 2012",MIA vs. IND,W,38,12,19,0.632,2,4,0.5,4,4,1.0,3,7,10,8,1,1,4,1,30,28,0,2011-12
42011,2544,0041100204,"MAY 20, 2012",MIA @ IND,W,44,14,27,0.519,0,0,0.0,12,16,0.75,6,12,18,9,2,2,5,1,40,4,0,2011-12
42011,2544,0041100203,"MAY 17, 2012",MIA @ IND,L,40,10,22,0.455,1,4,0.25,1,3,0.333,1,6,7,3,2,0,4,1,22,-9,0,2011-12
42011,2544,0041100202,"MAY 15, 2012",MIA vs. IND,L,43,10,22,0.455,0,4,0.0,8,13,0.615,4,5,9,5,6,0,2,0,28,-7,0,2011-12
42011,2544,0041100201,"MAY 13, 2012",MIA vs. IND,W,43,12,26,0.462,0,3,0.0,8,10,0.8,6,9,15,5,2,1,1,1,32,12,0,2011-12
42011,2544,0041100115,"MAY 09, 2012",MIA vs. NYK,W,40,7,16,0.438,2,6,0.333,13,15,0.867,1,7,8,7,2,1,4,2,29,6,0,2011-12
42011,2544,0041100114,"MAY 06, 2012",MIA @ NYK,L,41,9,21,0.429,2,5,0.4,7,8,0.875,0,4,4,4,1,0,5,4,27,-7,0,2011-12
42011,2544,0041100113,"MAY 03, 2012",MIA @ NYK,W,36,9,21,0.429,2,5,0.4,12,13,0.923,2,6,8,5,2,0,8,5,32,23,0,2011-12
42011,2544,0041100112,"APR 30, 2012",MIA vs. NYK,W,41,8,18,0.444,0,3,0.0,3,7,0.429,1,6,7,9,2,0,2,1,19,10,0,2011-12
42011,2544,0041100111,"APR 28, 2012",MIA vs. NYK,W,32,10,14,0.714,1,1,1.0,11,14,0.786,1,3,4,3,4,0,2,2,32,35,0,2011-12
42012,2544,0041200407,"JUN 20, 2013",MIA vs. SAS,W,45,12,23,0.522,5,10,0.5,8,8,1.0,3,9,12,4,2,0,2,2,37,8,1,2012-13
42012,2544,0041200406,"JUN 18, 2013",MIA vs. SAS,W,50,11,26,0.423,1,5,0.2,9,12,0.75,4,6,10,11,3,1,6,3,32,-1,1,2012-13
42012,2544,0041200405,"JUN 16, 2013",MIA @ SAS,L,44,8,22,0.364,2,4,0.5,7,9,0.778,3,3,6,8,4,0,3,1,25,-9,1,2012-13
42012,2544,0041200404,"JUN 13, 2013",MIA @ SAS,W,41,15,25,0.6,1,2,0.5,2,4,0.5,3,8,11,4,2,2,1,2,33,8,1,2012-13
42012,2544,0041200403,"JUN 11, 2013",MIA @ SAS,L,39,7,21,0.333,1,5,0.2,0,0,,1,10,11,5,2,0,2,0,15,-32,1,2012-13
42012,2544,0041200402,"JUN 09, 2013",MIA vs. SAS,W,41,7,17,0.412,1,3,0.333,2,2,1.0,1,7,8,7,3,3,2,2,17,29,1,2012-13
42012,2544,0041200401,"JUN 06, 2013",MIA vs. SAS,L,42,7,16,0.438,1,5,0.2,3,4,0.75,2,16,18,10,0,0,2,0,18,-3,1,2012-13
42012,2544,0041200307,"JUN 03, 2013",MIA vs. IND,W,41,8,17,0.471,1,2,0.5,15,16,0.938,2,6,8,4,2,1,2,1,32,21,1,2012-13
42012,2544,0041200306,"JUN 01, 2013",MIA @ IND,L,42,10,21,0.476,2,4,0.5,7,8,0.875,0,7,7,6,2,1,4,2,29,-22,1,2012-13
42012,2544,0041200305,"MAY 30, 2013",MIA vs. IND,W,44,13,26,0.5,3,7,0.429,1,4,0.25,0,8,8,6,2,1,3,1,30,14,1,2012-13
42012,2544,0041200304,"MAY 28, 2013",MIA @ IND,L,43,8,18,0.444,4,7,0.571,4,6,0.667,4,2,6,5,1,3,2,6,24,-3,1,2012-13
42012,2544,0041200303,"MAY 26, 2013",MIA @ IND,W,41,8,17,0.471,0,1,0.0,6,6,1.0,0,4,4,3,0,0,0,0,22,22,1,2012-13
42012,2544,0041200302,"MAY 24, 2013",MIA vs. IND,L,45,14,20,0.7,3,7,0.429,5,7,0.714,4,4,8,3,3,1,5,3,36,-7,1,2012-13
42012,2544,0041200301,"MAY 22, 2013",MIA vs. IND,W,47,12,24,0.5,2,6,0.333,4,7,0.571,3,7,10,10,0,3,4,5,30,3,1,2012-13
42012,2544,0041200205,"MAY 15, 2013",MIA vs. CHI,W,44,5,14,0.357,1,3,0.333,12,15,0.8,0,7,7,8,2,0,2,3,23,4,1,2012-13
42012,2544,0041200204,"MAY 13, 2013",MIA @ CHI,W,43,9,20,0.45,1,4,0.25,8,9,0.889,0,7,7,8,2,0,5,0,27,27,1,2012-13
42012,2544,0041200203,"MAY 10, 2013",MIA @ CHI,W,44,6,17,0.353,2,4,0.5,11,11,1.0,0,8,8,7,2,0,1,0,25,7,1,2012-13
42012,2544,0041200202,"MAY 08, 2013",MIA vs. CHI,W,32,7,12,0.583,1,3,0.333,4,8,0.5,0,5,5,9,3,0,3,1,19,25,1,2012-13
42012,2544,0041200201,"MAY 06, 2013",MIA vs. CHI,L,44,8,17,0.471,1,3,0.333,7,9,0.778,2,6,8,7,2,1,2,2,24,-15,1,2012-13
42012,2544,0041200104,"APR 28, 2013",MIA @ MIL,W,41,13,20,0.65,0,2,0.0,4,7,0.571,2,6,8,7,3,1,5,3,30,16,0,2012-13
42012,2544,0041200103,"APR 25, 2013",MIA @ MIL,W,33,9,14,0.643,2,4,0.5,2,4,0.5,0,5,5,6,0,0,5,2,22,14,1,2012-13
42012,2544,0041200102,"APR 23, 2013",MIA vs. MIL,W,39,6,14,0.429,0,3,0.0,7,8,0.875,1,7,8,6,1,0,4,2,19,13,0,2012-13
42012,2544,0041200101,"APR 21, 2013",MIA vs. MIL,W,35,9,11,0.818,1,2,0.5,8,11,0.727,2,8,10,8,0,0,5,2,27,14,1,2012-13
42013,2544,0041300405,"JUN 15, 2014",MIA @ SAS,L,41,10,21,0.476,3,9,0.333,8,9,0.889,1,9,10,5,0,2,1,1,31,-16,1,2013-14
42013,2544,0041300404,"JUN 12, 2014",MIA vs. SAS,L,38,10,17,0.588,4,8,0.5,4,6,0.667,0,8,8,2,0,0,3,0,28,-21,1,2013-14
42013,2544,0041300403,"JUN 10, 2014",MIA vs. SAS,L,40,9,14,0.643,2,4,0.5,2,3,0.667,1,4,5,7,5,0,7,5,22,-21,1,2013-14
42013,2544,0041300402,"JUN 08, 2014",MIA @ SAS,W,38,14,22,0.636,3,3,1.0,4,5,0.8,2,8,10,3,2,0,4,3,35,11,1,2013-14
42013,2544,0041300401,"JUN 05, 2014",MIA @ SAS,L,33,9,17,0.529,2,3,0.667,5,6,0.833,3,3,6,3,3,0,4,1,25,0,1,2013-14
